,Kurtosis Value
weekofmonth,-1.1004072810085523
weekofmonthclaimed,-1.0887005682440112
age,-0.41160583195119704
fraudfound_p,11.911238448659601
repnumber,-1.1916070673880717
driverrating,-1.3669691015721062
ageofpolicyholder_id,-0.7973689460055642
days_policy_claim_id,192.36727918979116
vehiclecategory_id,-1.6196347455233249
policytype_id,-1.318098860520576
numberofsuppliments_id,-1.564877303197298
witnesspresent_id,174.25736263862672
deductible_id,31.192306179332242
days_policy_accident_id,161.72201433960487
basepolicy_id,-1.5813277414139664
year_accident_id,-1.3172573384081325
vehicleprice_id,0.053062342761815984
addresschange_claim_id,17.42416504505565
ageofvehicle_id,0.7148585694471916
agenttype_id,58.05722917384537
policereportfiled_id,31.138875645205836
pastnumberofclaims_id,-1.2004436928338904
fault_id,-0.991787941135664
monthclaimed_id,-1.2134274279539694
sex_id,1.3804376057936047
make_id,-1.046333016292134
numberofcars_id,11.846657918005636
month_accident_id,-1.2107585186210474
dayofweekclaimed_id,-1.1832567052846155
dayofweek_id,-1.2328575427338269
maritalstatus_id,-1.1876896502559064
accidentarea_id,4.881720988198829
