,Kurtosis Value
physicalhealthdays,4.342889158521046
mentalhealthdays,3.9397247608303934
sleephours,7.789873694185759
heightinmeters,-0.5176418086101031
weightinkilograms,-0.24539538818775952
bmi,-0.18173304765546305
alcoholdrinkers_id,-1.9062608457591574
ecigaretteusage_id,2.6547104806595714
pneumovaxever_id,-1.644530952806892
hivtesting_id,-1.2886388559067306
removedteeth_id,-1.2369822527236063
fluvaxlast12_id,-1.9449090153171174
smokerstatus_id,1.41470009590192
generalhealth_id,-0.6659368534928976
sex_id,-1.99671165647287
highrisklastyear_id,19.207500094044217
lastcheckuptime_id,2.4385226311449077
raceethnicitycategory_id,1.804422984762856
chestscan_id,-1.7730402790298874
difficultydressingbathing_id,25.70162284151807
statename_id,-1.0698299436610883
difficultyerrands_id,10.182268841840155
difficultywalking_id,2.3347571658347865
difficultyconcentrating_id,4.302790057382088
blindorvisiondifficulty_id,14.736971585050188
deaforhardofhearing_id,6.379599394460757
haddiabetes_id,2.695201206174623
hadarthritis_id,-1.496734009113048
hadkidneydisease_id,18.036640540255675
haddepressivedisorder_id,0.22769218738604646
hadskincancer_id,6.9974730137774594
hadasthma_id,2.156295028937895
hadstroke_id,19.15117681550033
hadangina_id,11.943554353534601
agecategory_id,-1.1605223605961121
hadcopd_id,8.400570759632714
hadheartattack_id,13.603803052997751
physicalactivities_id,-0.17655462918513098
